date,time,merchant_raw,amount_chf,payer,category,moment
2024-06-15,10:49,MIGROS 6010 08.01.25,16.77,Ada,Groceries,everyday
2024-06-15,13:05,RESTAURANT SANTA LUCIA,52.56,Ada,Dining,everyday
2024-06-15,13:37,KEBAB HOUSE WALLISELLEN,12.80,Noemi,Dining,everyday
2024-06-15,19:52,COOP PRONTO 3346 NO. 52166087,12.72,Noemi,Groceries,everyday
2024-06-15,20:47,Pathe Spreitenbach BERN,38.29,Ada,Entertainment,date_night
2024-06-16,16:28,OPERNHAUS ZUERICH FIL.7599,161.55,Ada,Entertainment,everyday
2024-06-17,13:09,blumengalerie seefeld,66.47,Noemi,Gifts,gift
2024-06-17,18:38,Christ Uhren Schmuck 17.10.25 CARD*8037,88.35,Ada,Gifts,gift
2024-06-18,09:17,COOP PRONTO/ZUERICH WIEDIKON,26.39,Noemi,Groceries,everyday
2024-06-18,15:08,UBER TRIP,31.12,Ada,Transport,everyday
2024-06-18,15:34,Interflora NR.639,72.13,Noemi,Gifts,gift
2024-06-18,19:17,Airbnb Payments,254.49,Ada,Travel,trip
2024-06-19,09:46,Migros FIL.2620 28.08.24,74.49,Noemi,Groceries,everyday
2024-06-19,17:02,LIDL SCHWEIZ NR.7214 SUISSE,14.62,Noemi,Groceries,everyday
2024-06-19,17:42,Migros ZUERICH OERLIKON 24.05.24 CH,21.14,Ada,Groceries,gift
2024-06-19,20:03,AIRBNB PAYMENTS REF 75885401,326.13,Bruno,Travel,trip
2024-06-20,07:02,Cafe Spruengli,21.10,Ada,Cafes,everyday
2024-06-20,09:09,starbucks USTER NO. 18604462,9.15,Bruno,Cafes,everyday
2024-06-20,18:57,Pathe Spreitenbach,30.73,Ada,Entertainment,everyday
2024-06-21,06:44,UBER TRIP,50.56,Bruno,Transport,everyday
2024-06-21,12:31,depot zuerich //THALWIL,71.25,Noemi,Home,trip
2024-06-21,13:09,MCDONALDS/ZUERICH OERLIKON,18.68,Ada,Dining,everyday
2024-06-21,13:23,OPERNHAUS ZUERICH 9030,134.21,Ada,Entertainment,everyday
2024-06-21,13:23,christ uhren schmuck KLOTEN,343.01,Ada,Gifts,gift
2024-06-21,14:32,APOTHEKE ZUR ROSE Schlieren 241,49.37,Ada,Health,everyday
2024-06-21,16:13,SBB CFF FFS DIETIKON STORE9013 SCHWEIZ,31.38,Bruno,Transport,everyday
2024-06-21,16:20,Pfister Moebel,119.66,Ada,Home,everyday
2024-06-21,18:36,PARKHAUS HOHE PROMENADE/Zuerich 23.12.25,4.82,Bruno,Transport,everyday
2024-06-21,18:48,PARKHAUS HOHE PROMENADE NR.5945,5.13,Noemi,Transport,everyday
2024-06-21,19:02,Tibits NR.159 01.04.25,12.26,Ada,Dining,everyday
2024-06-21,19:21,MIGROS Basel NR.2527,104.54,Bruno,Groceries,everyday
2024-06-21,19:25,SUSHI ZEN //DIETIKON,56.40,Ada,Dining,date_night
2024-06-21,20:48,RESTAURANT LINDE/ST GALLEN 1487,53.12,Noemi,Dining,date_night
2024-06-22,08:44,UBER TRIP/St Gallen CARD*2059,19.85,Ada,Transport,everyday
2024-06-22,08:49,VICAFE Schlieren KD.NR 73345919,7.40,Ada,Cafes,everyday
2024-06-22,11:33,DEPOT ZUERICH 14.07.25,87.76,Bruno,Home,everyday
2024-06-22,17:58,SPAR EXPRESS WINTERTHUR 25.01.26,20.56,Bruno,Groceries,everyday
2024-06-23,08:24,TAXI ZUERICH,69.57,Ada,Transport,everyday
2024-06-23,11:41,le dezaley,127.92,Bruno,Dining,everyday
2024-06-24,17:14,globus,26.64,Noemi,Gifts,gift
2024-06-25,08:40,SBB CFF FFS NR.3956,32.97,Ada,Transport,everyday
2024-06-25,09:33,coffee stop 357,5.87,Ada,Cafes,everyday
2024-06-25,19:31,MIGROS MM ZUERICH HB //ZUERICH 05.12.26,17.51,Noemi,Groceries,everyday
2024-06-26,07:33,CAFE SPRUENGLI/ZUERICH WIEDIKON STORE4409,13.79,Bruno,Cafes,everyday
2024-06-26,11:01,DENNER ZUERICH,24.88,Noemi,Groceries,everyday
2024-06-26,14:16,Bp Tankstelle,42.38,Bruno,Transport,everyday
2024-06-27,11:18,booking.com Zurich,164.02,Noemi,Travel,trip
2024-06-27,11:34,JELMOLI BASEL FIL.4985,108.37,Ada,Gifts,gift
2024-06-27,11:43,MANOR Schlieren,45.93,Noemi,Gifts,gift
2024-06-27,16:56,ALNATURA ZUERICH,36.95,Ada,Groceries,everyday
2024-06-27,17:36,EASYJET,662.22,Noemi,Travel,trip
2024-06-27,21:22,Kronenhalle NR.8946 25.12.25,376.64,Bruno,Dining,date_night
2024-06-28,07:44,Vicafe CARD*1131,4.14,Bruno,Cafes,everyday
2024-06-28,16:03,SBB CFF FFS,32.87,Bruno,Transport,everyday
2024-06-28,16:33,MIGROS 7603,37.20,Noemi,Groceries,trip
2024-06-28,18:23,le dezaley/SCHLIEREN,152.84,Ada,Dining,date_night
2024-06-28,19:49,LE DEZALEY 26.08.26,103.31,Noemi,Dining,date_night
2024-06-29,08:38,Swiss International Air Lines,109.29,Ada,Travel,trip
2024-06-29,16:47,Depot Zuerich BERN,79.58,Ada,Home,everyday
2024-06-29,18:27,UBER TRIP,14.24,Ada,Transport,everyday
2024-06-29,18:30,KINO ARENA,50.27,Bruno,Entertainment,date_night
2024-06-30,15:19,SPAR EXPRESS,9.77,Ada,Groceries,everyday
